Experiment,14.4
Plot title,(b)

Number of,2
plots

Number of,1001
points

Time,N,Square root of C at cutoff distance
76.1,98.4557,99.963
76.2,98.4111,99.9199
76.3,98.3665,99.877
76.4,98.322,99.8341
76.5,98.2776,99.7913
76.6,98.2332,99.7485
76.7,98.1889,99.7058
76.8,98.1447,99.6632
76.9,98.1005,99.6206
77,98.0564,99.5782
77.1,98.0124,99.5357
77.2,97.9684,99.4934
77.3,97.9245,99.4511
77.4,97.8807,99.4089
77.5,97.8369,99.3667
77.6,97.7933,99.3246
77.7,97.7496,99.2826
77.8,97.7061,99.2406
77.9,97.6626,99.1988
78,97.6192,99.1569
78.1,97.5758,99.1152
78.2,97.5326,99.0735
78.3,97.4894,99.0318
78.4,97.4462,98.9903
78.5,97.4031,98.9488
78.6,97.3601,98.9073
78.7,97.3172,98.8659
78.8,97.2743,98.8246
78.9,97.2315,98.7834
79,97.1887,98.7422
79.1,97.146,98.7011
79.2,97.1034,98.66
79.3,97.0609,98.619
79.4,97.0184,98.5781
79.5,96.9759,98.5372
79.6,96.9336,98.4964
79.7,96.8913,98.4556
79.8,96.8491,98.4149
79.9,96.8069,98.3743
80,96.7648,98.3338
80.1,96.7228,98.2933
80.2,96.6808,98.2528
80.3,96.6389,98.2125
80.4,96.597,98.1721
80.5,96.5553,98.1319
80.6,96.5135,98.0917
80.7,96.4719,98.0516
80.8,96.4303,98.0115
80.9,96.3888,97.9715
81,96.3473,97.9315
81.1,96.3059,97.8917
81.2,96.2645,97.8518
81.3,96.2233,97.8121
81.4,96.1821,97.7724
81.5,96.1409,97.7327
81.6,96.0998,97.6931
81.7,96.0588,97.6536
81.8,96.0178,97.6141
81.9,95.9769,97.5747
82,95.9361,97.5354
82.1,95.8953,97.4961
82.2,95.8546,97.4569
82.3,95.8139,97.4177
82.4,95.7733,97.3786
82.5,95.7328,97.3395
82.6,95.6923,97.3005
82.7,95.6519,97.2616
82.8,95.6115,97.2227
82.9,95.5712,97.1839
83,95.531,97.1451
83.1,95.4908,97.1064
